freebaseId__c,name,origin__c,activeStart__c,activeEnd__c
/en/randys_all_stars,"Randy's All Stars",,,
/m/0d_yq,"Cream","London","1966-07-01-0700","2005-01-01-0800"
/m/01hykl_,"Rancid","Berkeley","1991-01-01-0800",
/en/sub_bass_monster,"Sub Bass Monster","Gyulafir‡t—t","1994-01-01-0800",
/en/boards_of_canada,"Boards of Canada","Edinburgh",,
/en/dan_zanes,"Dan Zanes",,,
/en/freddie_and_the_dreamers,"Freddie and the Dreamers","Manchester","1959-01-01-0800",
/m/01njc5y,"Kali",,,
/en/metallica,"Metallica","Los Angeles","1981-10-28-0800",
/en/ben_folds,"Ben Folds","Winston-Salem","1988-01-01-0800",
/en/the_knack,"The Knack","Los Angeles","1978-01-01-0800",
/m/07m7k,"Tool","Los Angeles","1990-01-01-0800",
/en/steve_reich,"Steve Reich",,,
/en/herman_chin_loy,"Herman Chin Loy",,,
/en/james,"James","Manchester","1982-01-01-0800",
/en/the_rolling_stones,"The Rolling Stones","London","1962-01-01-0800",
/en/farout,"Farout",,,
/en/manic_street_preachers,"Manic Street Preachers","Blackwood","1986-01-01-0800",
/en/ahmad_jamal_trio,"Ahmad Jamal Trio",,,
/en/art_ensemble_of_chicago,"Art Ensemble of Chicago",,,
/en/king_tubby,"King Tubby",,,"1989-01-01-0800"
/en/dream_theater,"Dream Theater","New York","1986-09-01-0700",
/en/nomeansno,"Nomeansno","Vancouver","1979-01-01-0800",
/en/augustus_pablo,"Augustus Pablo","Saint Andrew Parish",,
/en/upsetter,"Upsetter",,,
/en/five_times_august,"Five Times August","Lewisville","2000-01-01-0800",
/en/neil_young_crazy_horse,"Neil Young & Crazy Horse","Los Angeles",,
/en/scientist_1960,"Scientist","Jamaica",,
/en/bill_evans_trio,"Bill Evans Trio",,,
/en/black_uhuru,"Black Uhuru","Jamaica","1974-01-01-0800",
/en/brian_blade,"Brian Blade",,,
/en/prototype_909,"Prototype 909",,,
/m/01wfprl,"Agent M","Tallinn","2004-01-01-0800",
/en/john_stetch,"John Stetch",,,
/en/return_to_forever,"Return to Forever","New York City",,
/en/spinal_tap,"Spinal Tap","England","1982-01-01-0800",
/en/demiurg,"Demiurg","Gamleby","2006-01-01-0800",
/en/miles_davis,"Miles Davis",,,
/en/gretchen_lieberum,"Gretchen Lieberum",,,
/en/john_coltrane,"John Coltrane","Hamlet",,
/en/andrew_bird,"Andrew Bird","Chicago",,
/m/02np0ky,"Sheshet","Israel","1977-01-01-0800","1977-01-01-0800"
/en/prince_buster,"Prince Buster",,,
/en/infected_mushroom,"Infected Mushroom","Haifa","1996-01-01-0800",
/en/pearl_jam,"Pearl Jam","Seattle","1990-01-01-0800",
/en/zagar,"?agar",,"2001-01-01-0800",
/en/rush,"Rush","Toronto","1968-01-01-0800",
/en/jean_michel_jarre,"Jean Michel Jarre","Lyon",,
/en/philip_glass,"Philip Glass","Baltimore",,
/en/screaming_trees,"Screaming Trees","Ellensburg","1985-01-01-0800","1998-01-01-0800"
/en/pink_floyd,"Pink Floyd","England","1964-01-01-0800",
/en/the_velvet_underground,"The Velvet Underground","New York City","1965-01-01-0800","1973-01-01-0800"
/en/kaiser_chiefs,"Kaiser Chiefs","Leeds","2003-01-01-0800",
/en/barenaked_ladies,"Barenaked Ladies","Toronto","1988-01-01-0800",
/en/aswad,"Aswad","London","1975-01-01-0800",
/en/ub40,"UB40","Birmingham","1978-01-01-0800",
/en/leslie_feist,"Feist","Calgary",,
/en/the_grass_roots,"The Grass Roots","Los Angeles","1965-01-01-0800","1975-01-01-0800"
/en/bruno_coulais,"Bruno Coulais",,,
/en/prince_1958,"Prince","Minneapolis",,
/en/steve_miller_band,"Steve Miller Band","Madison","1968-01-01-0800",
/en/richard_thompson,"Richard Thompson","Notting Hill Gate",,
/en/ziggy_marley,"Ziggy Marley","Kingston","1979-01-01-0800",
/en/hazmat_modine,"Hazmat Modine","New York City","2005-01-01-0800",
/en/prince_far_i,"Prince Far I",,,
/en/regina_spektor,"Regina Spektor",,,
/m/01s82_c,"Mother May I","Washington, D.C.","1990-01-01-0800","2000-01-01-0800"
/en/art_blakey_the_jazz_messengers,"Art Blakey & The Jazz Messengers",,,
/m/03f41x2,"DJ Funk",,,
/en/kind_of_pluto,"Kind of Pluto","Melbourne",,
/en/nine_inch_nails,"Nine Inch Nails","Cleveland","1988-01-01-0800",
/en/thomas_newman,"Thomas Newman","Los Angeles",,
/en/harry_partch,"Harry Partch",,"1929-01-01-0800","1974-01-01-0800"
/en/wolfmother,"Wolfmother","Australia","2003-01-01-0800",
/en/gwen_stefani,"Gwen Stefani","Anaheim","1986-01-01-0800",
/en/george_carlin,"George Carlin",,,
/en/brown_university_band,"Brown University Band",,"1924-01-01-0800",
/en/candlemass,"Candlemass","Stockholm",,
/m/0b_xm,"Yes","London","1968-01-01-0800",
/en/the_platina,"The Platina",,,
/en/jeff_deyo,"Jeff Deyo","Pasadena",,
/en/jethro_tull,"Jethro Tull","Blackpool","1963-01-01-0800",
/en/brian_eno,"Brian Eno","Woodbridge",,
/en/mc_lars,"MC Lars","Berkeley","1993-01-01-0800",
